snr,comb_amp,overlap,k,seed,bias_plus,coverage
0.5,5.0,False,38,43,99.99999794840494,0.0
0.5,5.0,False,39,43,99.99999766036082,0.0
0.5,5.0,False,40,43,99.99999808316733,0.0
0.5,5.0,False,41,43,99.99998699535021,0.0
0.5,5.0,False,42,43,99.9999943347438,0.0
0.5,5.0,False,43,43,99.99999708103935,0.0
0.5,5.0,False,44,43,99.99999876692189,0.0
0.5,5.0,False,45,43,99.99999880364948,0.0
0.5,5.0,False,46,43,99.99999960757728,0.0
0.5,5.0,False,47,43,100.00000325207729,0.0
0.5,5.0,False,48,43,99.99999855273563,0.0
0.5,5.0,False,49,43,99.99998561485958,0.0
0.5,5.0,False,50,43,99.99998759684107,0.0
0.5,5.0,False,1,44,54.081065954753285,0.1
0.5,5.0,False,2,44,100.02035784542238,0.0
0.5,5.0,False,3,44,99.99977783359442,0.0
0.5,5.0,False,4,44,99.99978546866143,0.0
0.5,5.0,False,5,44,99.99983190535607,0.0
0.5,5.0,False,6,44,99.999861516324,0.0
0.5,5.0,False,7,44,99.99985532903943,0.0
0.5,5.0,False,8,44,99.99986834263538,0.0
0.5,5.0,False,9,44,99.99987481485685,0.0
0.5,5.0,False,10,44,99.99991043260414,0.0
0.5,5.0,False,11,44,99.9999202880727,0.0
0.5,5.0,False,12,44,99.99996300180534,0.0
0.5,5.0,False,13,44,99.9999717168267,0.0
0.5,5.0,False,14,44,99.99993242838374,0.0
0.5,5.0,False,15,44,99.99992326282346,0.0
0.5,5.0,False,16,44,99.99993821820232,0.0
0.5,5.0,False,17,44,99.99998537433666,0.0
0.5,5.0,False,18,44,100.00002590266696,0.0
0.5,5.0,False,19,44,100.0000261189758,0.0
0.5,5.0,False,20,44,100.00001759673606,0.0
0.5,5.0,False,21,44,100.00002091570789,0.0
0.5,5.0,False,22,44,100.00001608958644,0.0
0.5,5.0,False,23,44,99.99997723176547,0.0
0.5,5.0,False,24,44,99.99996936870596,0.0
0.5,5.0,False,25,44,99.99996584930881,0.0
0.5,5.0,False,26,44,99.99996794228399,0.0
0.5,5.0,False,27,44,99.99995871151143,0.0
0.5,5.0,False,28,44,99.9999696590962,0.0
0.5,5.0,False,29,44,99.99997615742463,0.0
0.5,5.0,False,30,44,99.99997028964528,0.0
0.5,5.0,False,31,44,99.99996958219207,0.0
0.5,5.0,False,32,44,99.99996818121201,0.0
0.5,5.0,False,33,44,99.9999799425193,0.0
0.5,5.0,False,34,44,99.9999886244058,0.0
0.5,5.0,False,35,44,99.9999844191217,0.0
0.5,5.0,False,36,44,99.99998170222318,0.0
0.5,5.0,False,37,44,99.99999439926029,0.0
0.5,5.0,False,38,44,99.99999449959606,0.0
0.5,5.0,False,39,44,99.99999548370673,0.0
0.5,5.0,False,40,44,100.00000173786364,0.0
0.5,5.0,False,41,44,100.00000296843507,0.0
0.5,5.0,False,42,44,100.00000867580897,0.0
0.5,5.0,False,43,44,100.00000947065813,0.0
0.5,5.0,False,44,44,100.00000926503233,0.0
0.5,5.0,False,45,44,100.00000929127296,0.0
0.5,5.0,False,46,44,100.00000609377769,0.0
0.5,5.0,False,47,44,100.00001027609258,0.0
0.5,5.0,False,48,44,100.00000166104618,0.0
0.5,5.0,False,49,44,100.00000555714699,0.0
0.5,5.0,False,50,44,100.00001364291174,0.0
0.5,5.0,False,1,45,54.04897834948663,0.1
0.5,5.0,False,2,45,100.01654368823955,0.0
0.5,5.0,False,3,45,100.0000551631635,0.0
0.5,5.0,False,4,45,99.9999869422707,0.0
0.5,5.0,False,5,45,100.0000107490252,0.0
0.5,5.0,False,6,45,99.99999844395259,0.0
0.5,5.0,False,7,45,99.99999850167112,0.0
0.5,5.0,False,8,45,100.00001270456937,0.0
0.5,5.0,False,9,45,100.00001816131635,0.0
0.5,5.0,False,10,45,99.99997596695647,0.0
0.5,5.0,False,11,45,99.99997369610367,0.0
0.5,5.0,False,12,45,99.99993642364217,0.0
0.5,5.0,False,13,45,99.99995052041095,0.0
0.5,5.0,False,14,45,99.99995044976043,0.0
0.5,5.0,False,15,45,99.9999428201287,0.0
0.5,5.0,False,16,45,99.99995650085454,0.0
0.5,5.0,False,17,45,99.99996979903801,0.0
0.5,5.0,False,18,45,99.99995753551092,0.0
0.5,5.0,False,19,45,99.99996079352425,0.0
0.5,5.0,False,20,45,99.99998170225315,0.0
0.5,5.0,False,21,45,99.99997830944196,0.0
0.5,5.0,False,22,45,99.99998371934637,0.0
0.5,5.0,False,23,45,99.99998207537632,0.0
0.5,5.0,False,24,45,99.99996814036355,0.0
0.5,5.0,False,25,45,99.99998446817123,0.0
0.5,5.0,False,26,45,99.9999539897256,0.0
0.5,5.0,False,27,45,99.99994052975657,0.0
0.5,5.0,False,28,45,99.99994103450993,0.0
0.5,5.0,False,29,45,99.99994185770487,0.0
0.5,5.0,False,30,45,99.99994403747004,0.0
0.5,5.0,False,31,45,99.99997819314376,0.0
0.5,5.0,False,32,45,99.9999977498773,0.0
0.5,5.0,False,33,45,100.0000040313592,0.0
0.5,5.0,False,34,45,100.00002105326917,0.0
0.5,5.0,False,35,45,100.00002654904273,0.0
0.5,5.0,False,36,45,100.00002218173154,0.0
0.5,5.0,False,37,45,100.00002231347375,0.0
0.5,5.0,False,38,45,100.0000035943794,0.0
0.5,5.0,False,39,45,100.0000139247054,0.0
0.5,5.0,False,40,45,100.00001378788758,0.0
0.5,5.0,False,41,45,100.00002631356732,0.0
0.5,5.0,False,42,45,100.00002624287839,0.0
0.5,5.0,False,43,45,100.00003105254268,0.0
0.5,5.0,False,44,45,100.00003714602096,0.0
0.5,5.0,False,45,45,100.00003307827825,0.0
0.5,5.0,False,46,45,100.00002315034072,0.0
0.5,5.0,False,47,45,100.00002284069828,0.0
0.5,5.0,False,48,45,100.0000272819513,0.0
0.5,5.0,False,49,45,100.00003575589233,0.0
0.5,5.0,False,50,45,100.00003393359862,0.0
0.5,5.0,False,1,46,54.040557331401864,0.1
0.5,5.0,False,2,46,100.01759387727924,0.0
0.5,5.0,False,3,46,100.00000651332127,0.0
0.5,5.0,False,4,46,99.99995875817277,0.0
0.5,5.0,False,5,46,99.99997768987068,0.0
0.5,5.0,False,6,46,100.00000087675215,0.0
